"cname","wdi_mortinftot","epi_watsup","wdi_accelectr"
"Afghanistan",71.6999969482422,11.3299999237061,43
"Albania",13.8000001907349,55.689998626709,100
"Algeria",22.3999996185303,31.8700008392334,100
"Andorra",2.29999995231628,100,100
"Angola",104.099998474121,7.40000009536743,37
"Antigua and Barbuda",6.80000019073486,72.620002746582,90.8754425048828
"Azerbaijan",31.2000007629394,27.2399997711182,100
"Argentina",12.3000001907349,86.120002746582,99.8000030517578
"Australia",3.59999990463257,100,100
"Austria",3.29999995231628,100,100
"Bahamas",10.8999996185303,61.4099998474121,100
"Bahrain",6.30000019073486,100,97.6978302001953
"Bangladesh",35.2999992370605,31,59.5999984741211
"Armenia",14.6000003814697,85.5400009155273,100
"Barbados",13,96.4400024414062,90.8754425048828
"Belgium",3.5,100,100
"Bhutan",30.7999992370606,68.0400009155273,75.5625610351562
"Bolivia",34,38.560001373291,90.5
"Bosnia and Herzegovina",5.90000009536743,81.25,100
"Botswana",38.2000007629395,65.5699996948242,53.2400016784668
"Brazil",14.3000001907349,68.1900024414062,99.5
"Belize",15.5,78.9899978637695,100
"Solomon Islands",25.5,26.1800003051758,22.8067092895508
"Brunei",8.10000038146973,100,76.161376953125
"Bulgaria",10.5,90.0500030517578,100
"Myanmar",43.2000007629395,32.2700004577637,52.3625602722168
"Burundi",59.5,21.2999992370606,6.5
"Belarus",4,93.9199981689453,100
"Cambodia",30.7000007629394,15.5200004577637,31.1000003814697
"Cameroon",62.4000015258789,21.3400001525879,53.7000007629395
"Canada",4.69999980926514,95.7600021362305,100
"Cape Verde",22.3999996185303,39.8800010681152,70.5625610351562
"Central African Republic",97.6999969482422,15.5600004196167,10.8000001907349
"Sri Lanka",8.89999961853027,48.9900016784668,88.6625595092773
"Chad",90.1999969482422,5.80999994277954,6.40000009536743
"Chile",7.40000009536743,77.9499969482422,99.5999984741211
"China",11.5,46.5099983215332,100
"Colombia",14.8999996185303,49.939998626709,97
"Comoros",59.7999992370605,57.25,69.3000030517578
"Congo",37.5999984741211,19.5799999237061,41.5999984741211
"Congo, Democratic Republic",80.5,4.03000020980835,16.3999996185303
"Costa Rica",8.80000019073486,63.6500015258789,99.5
"Croatia",4.09999990463257,78.4700012207031,100
"Cuba",4.59999990463257,52.5200004577637,100
"Cyprus (1975-)",2.79999995231628,100,100
"Czech Republic",3.20000004768372,95.9499969482422,100
"Benin",68.5,22.8500003814697,38.4000015258789
"Denmark",3.20000004768372,100,100
"Dominica",18.7000007629394,54.9199981689453,92.6667633056641
"Dominican Republic",27.1000003814697,28.9200000762939,98
"Ecuador",20.1000003814697,46.8600006103516,97.1999969482422
"El Salvador",16,41.7900009155273,93.6999969482422
"Equatorial Guinea",74.3000030517578,6.17999982833862,66
"Ethiopia (1993-)",46.2000007629395,5.28999996185303,26.5625591278076
"Eritrea",37,11.0600004196167,36.0768013000488
"Estonia",2.90000009536743,80.5999984741211,100
"Fiji",20,62.810001373291,59.3289108276367
"Finland",2.20000004768372,100,100
"France (1963-)",3.5,100,100
"Djibouti",58.9000015258789,48.6699981689453,53.2625617980957
"Gabon",39.7000007629395,38.2999992370605,89.3000030517578
"Georgia",12.8000001907349,74.1100006103516,100
"Gambia",50.0999984741211,41.0400009155273,34.526798248291
