"","wouldvote","peacefactor","peace_formerenemies","peace_jjindiv","peace_jjtribes","gos_soldier_execute","directlyharmed","age","farmer_dar","herder_dar","pastvoted","hhsize_darfur","village","female"
"91",0,1,1,1,1,0,0,30,0,0,1,23,"Abdel Khair",0
"92",0,0.706830720721758,0,1,1,0,0,20,1,0,1,5,"Abdi Dar",1
"103",1,0,0,0,0,1,0,45,1,0,0,15,"Abu Sorog",0
"106",1,0.495177711644244,1,0,0,0,1,55,0,0,0,9,"Abu Dejaj",0
"107",0,0,0,0,0,1,1,25,1,0,1,7,"Abu Dejaj",1
"109",0,0,0,0,0,1,0,33,1,1,0,6,"Abu Dejaj",1
"110",0,0,0,0,0,1,1,25,0,0,0,12,"Abu Gamra",0
"112",0,0.797991567633998,1,1,1,1,0,25,0,0,1,5,"Abu Gamra",1
"115",0,0,0,0,0,1,0,60,1,0,1,6,"Abu Gamra",1
"116",0,0,0,0,0,1,1,30,1,0,0,15,"Abu Gamra",1
"117",0,0.202008432366002,0,0,0,0,0,35,1,0,1,8,"Abu Gamra",0
"120",0,0,0,0,0,1,0,30,1,0,0,17,"Abu Gamra",1
"122",0,0,0,0,0,1,0,35,1,1,1,8,"Abu Gamra",0
"124",0,0.202008432366002,0,0,0,0,1,37,1,0,1,3,"Abu Gamra",1
"125",0,0.592909987627917,1,0,1,1,0,50,1,0,1,10,"Abu Gamra",1
"126",0,0.592909987627917,1,0,1,1,0,40,1,0,1,5,"Abu Gamra",0
"127",0,0.293169279278242,1,0,0,1,0,55,1,1,0,4,"Abu Gamra",1
"128",0,0,0,0,0,1,0,20,1,0,1,7,"Abu Gamra",0
"129",0,0.202008432366002,0,0,0,0,0,22,1,0,1,8,"Abu Gamra",1
"130",0,0,0,0,0,1,0,32,0,0,0,6,"Abu Gamra",1
"131",0,0.592909987627917,1,0,1,1,0,18,0,0,1,17,"Abu Gamra",1
"132",1,0.794918419993918,1,0,1,0,1,19,0,0,1,2,"Abu Gamra",0
"135",0,0.202008432366002,0,0,0,0,0,74,1,0,1,60,"Abu Gamra",0
"136",0,0,0,0,0,1,0,24,0,0,1,5,"Abu Gamra",1
"137",0,0.293169279278242,1,0,0,1,0,18,1,0,1,4,"Abu Gamra",1
"138",0,0,0,0,0,1,0,40,1,1,1,3,"Abu Gamra",1
"139",0,0.797991567633998,1,1,1,1,0,39,0,0,0,16,"Abu Gamra",0
"140",1,0.293169279278242,1,0,0,1,1,38,1,0,1,7,"Abu Gamra",0
"141",0,0.592909987627917,1,0,1,1,0,90,1,0,1,13,"Abu Gamra",0
"142",0,0,0,0,0,1,0,49,1,0,1,9,"Abu Gamra",1
"143",0,0,0,0,0,1,0,70,1,1,1,9,"Abu Gamra",0
"144",1,0.794918419993918,1,0,1,0,1,32,0,0,0,8,"Abu Gamra",0
"147",0,0.592909987627917,1,0,1,1,0,23,0,0,1,18,"Abu Gamra",1
"149",0,0,0,0,0,1,1,29,1,0,1,7,"Abu Gamra",0
"150",0,0,0,0,0,1,0,37,1,1,1,13,"Abu Gamra",0
"152",0,0.299740708349675,0,0,1,1,1,50,1,0,0,19,"Abu Gamra",0
"153",0,0,0,0,0,1,0,80,1,0,1,8,"Abu Gamra",1
"154",1,0.794918419993918,1,0,1,0,0,34,1,0,0,4,"Abu Gamra",0
"155",0,0.794918419993918,1,0,1,0,0,30,1,0,1,8,"Abu Gamra",1
"156",1,1,1,1,1,0,1,65,1,1,1,7,"Abu Gamra",0
"157",0,0.202008432366002,0,0,0,0,0,71,1,1,1,7,"Abu Gamra",1
"158",1,1,1,1,1,0,0,53,1,0,1,7,"Abu Gamra",0
"159",0,0,0,0,0,1,1,39,1,1,1,8,"Abu Gamra",0
"160",0,0,0,0,0,1,0,40,1,0,0,50,"Abu Gamra",1
"161",0,0.495177711644244,1,0,0,0,0,50,1,0,0,7,"Abu Gamra",0
"162",1,0.794918419993918,1,0,1,0,0,65,1,0,0,10,"Abu Gamra",0
"163",0,0.293169279278242,1,0,0,1,0,32,1,0,1,3,"Abu Gamra",0
"164",0,0.592909987627917,1,0,1,1,1,36,1,0,0,7,"Abu Gamra",0
"165",0,1,1,1,1,0,0,40,1,0,1,11,"Abu Gamra",0
"166",0,0,0,0,0,1,1,72,1,0,1,3,"Abu Gamra",0
"167",1,0,0,0,0,1,1,55,1,0,1,16,"Abu Gamra",0
"172",1,1,1,1,1,0,1,19,0,0,1,11,"Abu Gamra",0
"173",0,0.794918419993918,1,0,1,0,0,77,1,0,1,50,"Abu Gamra",0
"174",0,0,0,0,0,1,0,85,1,0,0,30,"Abu Gamra",0
"177",0,0,0,0,0,1,1,40,1,0,0,8,"Abu Gawar",0
"180",0,0,0,0,0,1,0,57,1,0,0,17,"Abu Geran",0
